인덱스,발화,장소,난이도
428,지금 쉬면서 자고 싶어 왠지 ㅠㅠ,bedroom,indirect
429,오늘 잠잠한 곳이 좋네 진짜 좀,bedroom,ambiguous
430,음 헬스하는 데로 가 조금 좀,exercise,direct
431,오늘 스트레칭하고 싶다 조금,exercise,indirect
432,음 답답해서 움직이고 싶다 약간 해야겠다,exercise,ambiguous
433,혹시 주방으로 가줘 약간 싶네,kitchen,direct
434,음 커피 한잔 하고 싶다 조금 싶네,kitchen,indirect
435,좀 간단하게 해결할 게 없나,kitchen,ambiguous
436,혹시 거실로 데려다줘 약간 같은데,living room,direct
437,좀 편한 분위기가 좋다 조금 같은데,living room,indirect
438,지금 편한 데 가고 싶어 진짜 해야겠다,living room,ambiguous
439,음 잠잘 곳으로 안내해 싶네,bedroom,direct
440,몸이 너무 피곤하다 약간 좀,bedroom,indirect
441,아 조용한 분위기가 좋다 조금 같은데,bedroom,ambiguous
442,아 운동할 수 있는 곳으로 가 약간!,exercise,direct
443,지금 운동 안 한 지 오래됐다 조금 ㅠㅠ,exercise,indirect
444,갑자기 움직여야 할 것 같아 왠지 좀,exercise,ambiguous
445,지금 냉장고 앞으로 가 조금 같은데,kitchen,direct
446,혹시 뭔가 만들어 먹고 싶네 같은데,kitchen,indirect
447,아 오늘 뭔가 만들어볼까 진짜,kitchen,ambiguous
448,TV 있는 데로 이동해!,living room,direct
449,혹시 편하게 기대고 싶어 진짜!,living room,indirect
450,혹시 가볍게 쉬고 싶다 왠지,living room,ambiguous
451,아 침실로 가줘 약간.,bedroom,direct
452,혹시 눈이 감긴다 왠지 ㅠㅠ,bedroom,indirect
453,아 방해받기 싫다.,bedroom,ambiguous
454,지금 운동 장소로 이동하자 약간.,exercise,direct
455,오늘 운동 안 한 지 오래됐다 진짜 같은데,exercise,indirect
456,에너지가 부족한 느낌이야,exercise,ambiguous
457,좀 냉장고 앞으로 가 왠지 해야겠다,kitchen,direct
458,간식 먹고 싶다 진짜 같은데,kitchen,indirect
459,가볍게 뭐라도 하고 싶다 조금 같은데,kitchen,ambiguous
460,갑자기 거실 쪽으로 가자 조금 같은데,living room,direct
461,가만히 앉아 있고 싶다 진짜,living room,indirect
462,갑자기 조용히 있고 싶네 해야겠다,living room,ambiguous
463,아 침실로 데려다줘 진짜 싶네,bedroom,direct
464,지금 오늘은 일찍 자야겠다 왠지 해야겠다,bedroom,indirect
465,지금 오늘은 쉬어야겠다 조금 같은데,bedroom,ambiguous
466,좀 몸 움직일 곳으로 가줘 왠지 같은데,exercise,direct
467,지금 활동적으로 움직이고 싶다 왠지 좀,exercise,indirect
468,혹시 움직여야 할 것 같아 왠지!,exercise,ambiguous
469,부엌 쪽으로 이동하자 약간 같은데,kitchen,direct
470,갑자기 물 마시고 싶다 조금.,kitchen,indirect
471,지금 손 가는 걸 해보고 싶다 왠지.,kitchen,ambiguous
472,아 편하게 앉을 곳으로 가줘 왠지 좀,living room,direct
473,잠깐 멍 때리고 싶네 진짜 좀,living room,indirect
474,지금 가볍게 쉬고 싶다 약간 싶네,living room,ambiguous
475,침실로 가줘 왠지 싶네,bedroom,direct
476,좀 이불 덮고 싶어 약간!,bedroom,indirect
477,혹시 잠잠한 곳이 좋네 조금 해야겠다,bedroom,ambiguous
478,지금 운동 공간으로 이동해,exercise,direct
479,지금 가볍게 뛰고 싶네 진짜.,exercise,indirect
480,갑자기 뭔가 역동적인 걸 하고 싶다 왠지 ㅠㅠ,exercise,ambiguous
481,혹시 싱크대 있는 데로 가 조금.,kitchen,direct
482,오늘 간식 먹고 싶다 진짜 ㅠㅠ,kitchen,indirect
483,아 손 가는 걸 해보고 싶다 같은데,kitchen,ambiguous
484,좀 거실로 데려다줘 조금 좀,living room,direct
485,지금 편하게 기대고 싶어!,living room,indirect
486,음 한숨 돌리고 싶다 조금!,living room,ambiguous
487,오늘 침실로 가줘 해야겠다,bedroom,direct
488,혹시 이불 덮고 싶어 진짜 싶네,bedroom,indirect
489,음 혼자 있고 싶네 약간 좀,bedroom,ambiguous
490,오늘 운동방으로 안내해 ㅠㅠ,exercise,direct
491,갑자기 몸이 찌뿌둥하다 진짜 해야겠다,exercise,indirect
492,오늘 몸이 무거운 느낌이다 조금 싶네,exercise,ambiguous
493,음 주방으로 데려다줘 진짜 해야겠다,kitchen,direct
494,혹시 간식 먹고 싶다 약간 해야겠다,kitchen,indirect
495,갑자기 오늘은 직접 해볼까 왠지 해야겠다,kitchen,ambiguous
496,편하게 앉을 곳으로 가줘 진짜 좀,living room,direct
497,음 오늘은 아무 생각 하기 싫다 조금 싶네,living room,indirect
498,좀 가볍게 쉬고 싶다,living room,ambiguous
499,음 침실로 가줘 조금 ㅠㅠ,bedroom,direct
500,음 잠 좀 자고 싶네 약간,bedroom,indirect
501,갑자기 좀 숨고 싶다 해야겠다,bedroom,ambiguous
502,음 운동방으로 안내해 같은데,exercise,direct
503,아 가볍게 뛰고 싶네.,exercise,indirect
504,몸이 무거운 느낌이다 조금!,exercise,ambiguous
505,좀 주방으로 가줘 ㅠㅠ,kitchen,direct
506,음 컵라면이라도 먹을까 조금 해야겠다,kitchen,indirect
507,음 간단하게 해결할 게 없나 약간 같은데,kitchen,ambiguous
508,갑자기 소파 앞으로 가 왠지 싶네,living room,direct
509,음 편하게 기대고 싶어 조금.,living room,indirect
510,혹시 아무것도 안 하고 싶다 조금.,living room,ambiguous
511,방으로 가고 싶어 진짜 싶네,bedroom,direct
512,아 눈이 감긴다 진짜 좀,bedroom,indirect
513,오늘 가만히 있고 싶다 왠지 같은데,bedroom,ambiguous
514,혹시 몸 움직일 곳으로 가줘 진짜!,exercise,direct
515,좀 가볍게 뛰고 싶네 진짜 같은데,exercise,indirect
516,에너지가 부족한 느낌이야 진짜 같은데,exercise,ambiguous
517,좀 부엌 쪽으로 이동하자 조금 싶네,kitchen,direct
518,아 뭔가 만들어 먹고 싶네 약간.,kitchen,indirect
519,가볍게 뭐라도 하고 싶다 약간 ㅠㅠ,kitchen,ambiguous
520,갑자기 TV 있는 데로 이동해 조금 ㅠㅠ,living room,direct
521,지금 오늘은 아무 생각 하기 싫다 조금 해야겠다,living room,indirect
522,혹시 기분 전환이 필요하다 진짜 같은데,living room,ambiguous
523,음 침실로 데려다줘 조금.,bedroom,direct
524,혹시 오늘은 일찍 자야겠다 왠지 ㅠㅠ,bedroom,indirect
525,아 오늘은 아무것도 하기 싫다 약간 ㅠㅠ,bedroom,ambiguous
526,음 운동할 수 있는 곳으로 가 진짜,exercise,direct
527,갑자기 운동 안 한 지 오래됐다 조금!,exercise,indirect
528,조금 활동하고 싶네 조금 같은데,exercise,ambiguous
529,지금 주방 쪽으로 안내해 싶네,kitchen,direct
530,좀 간식 먹고 싶다 조금 ㅠㅠ,kitchen,indirect
531,뭔가 찾고 싶네 왠지 좀,kitchen,ambiguous
532,아 쉬는 공간으로 이동하자 약간 좀,living room,direct
533,음 좀 쉬고 싶네 진짜 해야겠다,living room,indirect
534,지금 오늘은 늘어지고 싶다 약간 ㅠㅠ,living room,ambiguous
535,혹시 조용한 방으로 가줘 진짜,bedroom,direct
536,오늘은 일찍 자야겠다 약간 싶네,bedroom,indirect
537,지금 방해받기 싫다!,bedroom,ambiguous
538,음 운동 장소로 이동하자 조금!,exercise,direct
539,지금 활동적으로 움직이고 싶다 진짜 ㅠㅠ,exercise,indirect
540,아 움직여야 할 것 같아 약간 좀,exercise,ambiguous
541,부엌으로 이동해 조금.,kitchen,direct
542,갑자기 배가 좀 고프네 조금,kitchen,indirect
543,음 간단하게 해결할 게 없나 약간 싶네,kitchen,ambiguous
544,오늘 TV 있는 데로 이동해 조금!,living room,direct
545,지금 편한 분위기가 좋다 같은데,living room,indirect
546,좀 오늘은 늘어지고 싶다!,living room,ambiguous
547,침대 앞으로 가 진짜 ㅠㅠ,bedroom,direct
548,아 몸이 너무 피곤하다 싶네,bedroom,indirect
549,혹시 가만히 있고 싶다 왠지!,bedroom,ambiguous
550,오늘 헬스하는 데로 가 왠지,exercise,direct
551,지금 운동 안 한 지 오래됐다 싶네,exercise,indirect
552,갑자기 답답해서 움직이고 싶다 ㅠㅠ,exercise,ambiguous
553,혹시 요리하는 공간으로 가줘 좀,kitchen,direct
554,좀 냉장고 확인하고 싶다 약간 좀,kitchen,indirect
555,좀 기분 전환 좀 할까 약간 좀,kitchen,ambiguous
556,거실 쪽으로 가자 진짜.,living room,direct
557,갑자기 편하게 기대고 싶어,living room,indirect
558,지금 기분 전환이 필요하다 진짜 ㅠㅠ,living room,ambiguous
559,방으로 가고 싶어 약간 ㅠㅠ,bedroom,direct
560,아 침대 생각난다!,bedroom,indirect
561,혹시 좀 숨고 싶다 약간 같은데,bedroom,ambiguous
562,혹시 헬스하는 데로 가 왠지.,exercise,direct
563,좀 활동적으로 움직이고 싶다,exercise,indirect
564,갑자기 몸이 무거운 느낌이다 좀,exercise,ambiguous
565,아 주방으로 가줘 조금!,kitchen,direct
566,갑자기 간단하게 요기하고 싶어 진짜 해야겠다,kitchen,indirect
567,음 조금 움직여볼까 해야겠다,kitchen,ambiguous
568,오늘 거실로 안내해,living room,direct
569,드라마 보고 싶다 진짜!,living room,indirect
570,혹시 아무것도 안 하고 싶다 왠지!,living room,ambiguous
571,아 침대 있는 방으로 이동해 진짜 좀,bedroom,direct
572,음 쉬면서 자고 싶어 같은데,bedroom,indirect
573,음 방해받기 싫다 약간 좀,bedroom,ambiguous
574,아 운동방으로 안내해 약간.,exercise,direct
575,좀 운동 안 한 지 오래됐다 진짜 ㅠㅠ,exercise,indirect
576,움직여야 할 것 같아 해야겠다,exercise,ambiguous
577,아 냉장고 있는 곳으로 가 왠지 싶네,kitchen,direct
578,음 냉장고 확인하고 싶다 진짜,kitchen,indirect
579,뭔가 찾고 싶네 약간.,kitchen,ambiguous
580,소파 앞으로 가 왠지 좀,living room,direct
581,혹시 좀 쉬고 싶네 왠지!,living room,indirect
582,갑자기 조용히 있고 싶네 약간 싶네,living room,ambiguous
583,아 침실 쪽으로 가자 약간 같은데,bedroom,direct
584,오늘 잠 좀 자고 싶네 왠지 좀,bedroom,indirect
585,아 잠잠한 곳이 좋네!,bedroom,ambiguous
586,혹시 운동 공간으로 이동해 약간!,exercise,direct
587,음 운동해야 하는데 해야겠다,exercise,indirect
588,음 기분 전환이 필요해 진짜 ㅠㅠ,exercise,ambiguous
589,갑자기 부엌 쪽으로 이동하자 약간 싶네,kitchen,direct
590,배가 좀 고프네.,kitchen,indirect
591,지금 기분 전환 좀 할까 진짜!,kitchen,ambiguous
592,아 TV 있는 데로 이동해 진짜,living room,direct
593,지금 편한 분위기가 좋다 약간!,living room,indirect
594,오늘 한숨 돌리고 싶다 조금 같은데,living room,ambiguous
595,조용한 방으로 가줘 ㅠㅠ,bedroom,direct
596,좀 눈이 감긴다 조금!,bedroom,indirect
597,지금 조용한 분위기가 좋다 ㅠㅠ,bedroom,ambiguous
598,좀 스트레칭할 공간으로 가고 싶어 조금 같은데,exercise,direct
599,갑자기 활동적으로 움직이고 싶다,exercise,indirect
600,활력이 필요하다 싶네,exercise,ambiguous
601,지금 냉장고 앞으로 가!,kitchen,direct
602,음 뭔가 만들어 먹고 싶네 약간 같은데,kitchen,indirect
603,기분 전환 좀 할까 조금 ㅠㅠ,kitchen,ambiguous
604,혹시 TV 앞에 가고 싶어 왠지 좀,living room,direct
605,오늘은 아무 생각 하기 싫다 진짜 해야겠다,living room,indirect
606,혹시 한숨 돌리고 싶다!,living room,ambiguous
607,음 내 방으로 이동해 왠지!,bedroom,direct
608,지금 몸이 너무 피곤하다 싶네,bedroom,indirect
609,오늘 생각 정리 좀 하고 싶네 좀,bedroom,ambiguous
610,오늘 트레이닝 공간으로 가 약간!,exercise,direct
611,오늘 가볍게 뛰고 싶네 왠지.,exercise,indirect
612,좀 활력이 필요하다 진짜 싶네,exercise,ambiguous
613,오늘 주방으로 데려다줘 왠지 같은데,kitchen,direct
614,지금 냉장고 확인하고 싶다 진짜!,kitchen,indirect
615,혹시 오늘은 직접 해볼까 약간,kitchen,ambiguous
616,거실로 가줘 조금 ㅠㅠ,living room,direct
617,오늘 TV 보고 싶다 진짜 같은데,living room,indirect
618,지금 잠깐 머리 식히고 싶네 조금 싶네,living room,ambiguous
619,좀 자는 곳으로 가 ㅠㅠ,bedroom,direct
620,아 누워 있고 싶다 약간 해야겠다,bedroom,indirect
621,오늘은 쉬어야겠다!,bedroom,ambiguous
622,오늘 스트레칭할 공간으로 가고 싶어 조금.,exercise,direct
623,혹시 몸 좀 움직이고 싶다 왠지 같은데,exercise,indirect
624,음 가만히 있기 싫다 왠지 싶네,exercise,ambiguous
625,좀 요리하는 공간으로 가줘 왠지.,kitchen,direct
626,지금 배가 좀 고프네 약간 해야겠다,kitchen,indirect
627,지금 오늘 뭔가 만들어볼까 좀,kitchen,ambiguous
628,오늘 소파 있는 곳으로 가 약간.,living room,direct
629,지금 소파에 눕고 싶다!,living room,indirect
630,좀 한숨 돌리고 싶다 진짜,living room,ambiguous
631,갑자기 잠잘 곳으로 안내해 조금 해야겠다,bedroom,direct
632,음 오늘은 일찍 자야겠다!,bedroom,indirect
633,혼자 있고 싶네 약간 같은데,bedroom,ambiguous
634,좀 운동 공간으로 이동해 진짜 ㅠㅠ,exercise,direct
635,오늘 너무 오래 앉아 있었네.,exercise,indirect
636,지금 가만히 있기 싫다 싶네,exercise,ambiguous
637,갑자기 주방 쪽으로 안내해 약간!,kitchen,direct
638,아 뭔가 만들어 먹고 싶네 약간.,kitchen,indirect
639,가볍게 뭐라도 하고 싶다 왠지 ㅠㅠ,kitchen,ambiguous
640,좀 소파 있는 곳으로 가.,living room,direct
641,좀 가만히 앉아 있고 싶다 약간 ㅠㅠ,living room,indirect
642,좀 기분 전환이 필요하다 왠지 좀,living room,ambiguous
643,아 침실로 가줘 왠지 같은데,bedroom,direct
644,혹시 잠 좀 자고 싶네 조금 싶네,bedroom,indirect
645,갑자기 오늘은 아무것도 하기 싫다 왠지 좀,bedroom,ambiguous
646,음 트레이닝 공간으로 가 같은데,exercise,direct
647,오늘 땀 좀 흘리고 싶다.,exercise,indirect
648,좀 답답해서 움직이고 싶다 진짜.,exercise,ambiguous
649,오늘 냉장고 있는 곳으로 가 약간,kitchen,direct
650,배가 좀 고프네 진짜.,kitchen,indirect
651,좀 손 가는 걸 해보고 싶다 해야겠다,kitchen,ambiguous
652,갑자기 거실로 가줘 진짜 싶네,living room,direct
653,소파에 눕고 싶다 진짜 ㅠㅠ,living room,indirect
654,오늘 가볍게 쉬고 싶다 조금!,living room,ambiguous
655,지금 자는 곳으로 가 조금 ㅠㅠ,bedroom,direct
656,지금 쉬면서 자고 싶어 조금!,bedroom,indirect
657,지금 조용한 분위기가 좋다 약간,bedroom,ambiguous
658,운동 공간으로 이동해 진짜 ㅠㅠ,exercise,direct
659,운동 안 한 지 오래됐다 왠지.,exercise,indirect
660,움직여야 할 것 같아 진짜!,exercise,ambiguous
661,오늘 냉장고 앞으로 가 해야겠다,kitchen,direct
662,혹시 물 마시고 싶다.,kitchen,indirect
663,가볍게 뭐라도 하고 싶다 약간 ㅠㅠ,kitchen,ambiguous
664,오늘 편하게 앉을 곳으로 가줘 조금 같은데,living room,direct
665,혹시 오늘은 아무 생각 하기 싫다 왠지 싶네,living room,indirect
666,오늘 잠깐 머리 식히고 싶네 진짜 해야겠다,living room,ambiguous
667,갑자기 조용한 방으로 가줘!,bedroom,direct
668,아 눈이 감긴다 좀,bedroom,indirect
669,음 방해받기 싫다 왠지 좀,bedroom,ambiguous
670,스트레칭할 공간으로 가고 싶어 ㅠㅠ,exercise,direct
671,혹시 운동해야 하는데 같은데,exercise,indirect
672,혹시 에너지가 부족한 느낌이야 약간 해야겠다,exercise,ambiguous
673,음 부엌에 가고 싶어 진짜 ㅠㅠ,kitchen,direct
674,음 목이 좀 마른데 진짜!,kitchen,indirect
675,아 조금 움직여볼까 ㅠㅠ,kitchen,ambiguous
676,오늘 거실 쪽으로 가자 왠지 싶네,living room,direct
677,갑자기 휴식이 필요해 ㅠㅠ,living room,indirect
678,오늘 편한 데 가고 싶어 왠지 좀,living room,ambiguous
679,침실로 데려다줘 조금 해야겠다,bedroom,direct
680,좀 누워 있고 싶다 진짜 같은데,bedroom,indirect
681,아 조용한 데 가고 싶다 왠지,bedroom,ambiguous
682,좀 운동 장소로 이동하자 진짜 좀,exercise,direct
683,갑자기 땀 좀 흘리고 싶다 진짜,exercise,indirect
684,혹시 활력이 필요하다 왠지.,exercise,ambiguous
685,좀 주방 쪽으로 안내해 약간 같은데,kitchen,direct
686,좀 목이 좀 마른데 약간,kitchen,indirect
687,좀 기분 전환 좀 할까 왠지 같은데,kitchen,ambiguous
688,TV 있는 데로 이동해 조금 싶네,living room,direct
689,갑자기 드라마 보고 싶다 조금 해야겠다,living room,indirect
690,아 가볍게 쉬고 싶다 조금!,living room,ambiguous
691,음 방으로 가고 싶어 조금 좀,bedroom,direct
692,아 쉬면서 자고 싶어 약간,bedroom,indirect
693,오늘 조용한 분위기가 좋다 조금.,bedroom,ambiguous
694,혹시 헬스하는 데로 가 왠지 ㅠㅠ,exercise,direct
